"question","answer"
"HİPOTEZLER NASIL SEÇİLİR?","Bu hipotez çeşitleri, bilimsel araştırmalarda
araştırma probleminin doğasına, araştırmanın amacına ve metodolojisine göre uygun şekilde seçilir ve kullanılır. Her bir hipotez türü, belirli araştırma desenlerine ve analiz yöntemlerine uygunluk gösterir."
"HİPOTEZİN ÖZELLİKLERİ Nelerdir","• Test edilebilir olmalı
• Açık ve anlaşılır olmalı
• Araştırma problemiyle ilgili olmalı
• Özgün olmalı
• Mevcut bilgilerle uyumlu olmalı
• Değişkenler arasında ilişki kurmalı
• İstatistiksel olarak test edilebilmeli
• Gözlemlenebilir/ölçülebilir kavramlar içermeli"
"Teori (Kuram)","Mantıki bakımdan birbiriyle ilgili, birbiriyle
çelişmeyen (tutarlı) ve kendisinden sınanabilecek – denenebilecek hipotezler oluşturan fikirler sistemidir. Kuram olaylar, nesneler arasındaki karmaşıklığı bir düzenlemeye tâbi tutar. Toplanan bilgilerin rastgele değil sistematik olduğu ve birbirleri bakımından anlamlılık taşıyan bilgiler olduğu gerçeğini ortaya koyar."
"İYİ BİR TEORİNİN ÖZELLİKLERİ?","• İyi bir teori geniş bir açıklama gücüne
sahiptir.
• İyi bir teori basitleştirerek açıklar.
• İyi bir teori tatmin edicidir, bizim merakımızı
giderir.
• İyi bir teori açıkça çerçevelenmiştir.
• İyi bir teori prensipte yanlışlanabilir.
• İyi bir teorinin zamanla kazanılmış zenginliği
vardır."
"EINSTEIN’IN ÖZEL GÖRELİLİK TEORİSİ
Temel Önermeler:","• Işık hızı, tüm gözlemciler için sabittir.
(c = 300,000 km/s)
• Fizik yasaları, tüm eylemsiz referans
sistemlerinde aynıdır."
"EINSTEIN’IN ÖZEL GÖRELİLİK TEORİSİ
Teorinin Öngörüleri: ","• Yüksek hızlarda zaman yavaşlar.
• Hareket yönündeki uzunluklar kısalır.
• Kütle ve enerji birbirine dönüşebilir.
• Hiçbir şey ışık hızından daha hızlı gidemez.
Teorinin; Modern fiziğin temelini oluşturması, Nükleer enerji teknolojilerinin gelişimi, Uzay araştırmalarında kullanımı, Kuantum mekaniğinin gelişimine katkısı şeklinde önemli etkileri vardır."
"KURAM VE HİPOTEZ İLİŞKİSİ","Hipotez doğrulanınca kuram olur. Kuram
yalnızca üzerinde çalışılan deneyi açıklamakla
kalmaz gelecekte de nasıl olacağını açıklar,
tahmin eder.
Bir araştırmanın hareket noktasını oluşturan
hipotezler bir kuramdan türetilir ve kuram
çerçevesinde değerlendirilir. Öyleyse hipotezler
öylesine rastgele değil bir kuramsal temel
üzerinde geliştirilmelidir."
"KURAM VE HİPOTEZ’İN FARKLILIKLARI","• Hipotez teoriye göre daha basittir (hipotez tek
cümleyle ifade edilebilir).
• Bir teori bir çok hipoteze imkan verebilir.
• Hipotezin belirttiği neden-sonuç ilişkisi aynı
cinsten olan bütün olaylara uygulanabilir.
• Kuram hipotezden farklıdır, hipotez daha
geçicidir, doğrulanmamıştır.
• Kuram az ya da çok kesinlik kazanmış
hipotezdir."
"YASA-KANUN","Doğada gözlemlenen olaylar arasındaki
değişmez ilişkileri tanımlayan, evrensel olarak
kabul edilmiş ve sürekli olarak doğrulanmış
önermelerdir.
Teori niceliksel bir kesinlik kazandığı zaman
teori olmaktan çıkıp, kanun (yasa) olur."
"BİLİMSEL YASA ÖRNEKLERİ","a) Newton'un Hareket Yasaları: 
• Eylemsizlik yasası
• Kuvvet yasası (F=ma)
• Etki-tepki yasası
b) Termodinamik Yasaları: 
• Enerjinin korunumu Yasası
• Entropi artışı Yasası
c) Mendel'in Kalıtım Yasaları
a) Kapsam:                                                           Yasalar: Spesifik ilişkileri tanımlar
Teoriler: Geniş açıklamalar sunar
b) İşlev: 
Yasalar: ""Ne"" sorusunu cevaplar
Teoriler: ""Neden"" sorusunu cevaplar
c) Değişebilirlik: 
Yasalar: Çok az değişir
Teoriler: Daha sık revize edilir"
"VARSAYIM","Araştırmanın daha başlangıcında araştırmacının
doğru olduğunu kabul ettiği yargıdır.
Örneğin saha araştırmalarındaki hakim varsayım, “araştırmaya katılan deneklerin doğru bilgi verdikleridir”.
Varsayım bir araştırmada önceden belirlenen
önermeler ve koşullardır.
Varsayımlar ""kuramsal sonuçlara gidilebilmesi
için başlangıçta kabul edilen önermelerdir."
"AKSİYOM (POSTULAT)","Kanıtlanmasına gerek duyulmayan, doğruluğu
tartışmasız kabul edilen temel ilke ya da
önermelere denir.
Varsayımlar ile aksiyomları birbirinden ayıran
nokta, aksiyomların ""doğruluğu önsel bir
kanıtlama yapılmaksızın herkesçe kabul edilen
ifadeler"" olmalarına karşın, varsayımların daha çok basitleştirmek için bilinçli olarak yapılan
sınırlamalar olmalarıdır."
"ÖRNEK: ÖKLİD’İN POSTULATLARI","• İki nokta arasından bir ve yalnız bir doğru
geçer.
• Bir doğru parçası sınırsız olarak uzatılabilir.
• Herhangi bir merkez ve yarıçap ile bir
çember çizilebilir. Bütün dik açılar birbirine
eşittir.
• Bir doğru dışındaki bir noktadan bu
doğruya bir ve yalnız bir paralel çizilebilir."
"TÜMEVARIM","Tümevarım, tek tek olayların gözlemlenmesiyle genel yasalara ulaşmaktır. Diğer bir ifade ile
sınırlı sayıda örneğe bakarak genel hakkında bilgi sahibi olunmasıdır (Özelden genele)"
"ÖRNEK: ""Suyun Kaynama Noktası""","Tekil Gözlemler (Laboratuvar Deneyleri): 
• İstanbul'da su 100°C'de kaynıyor
• İzmir'de su 100°C'de kaynıyor
• Antalya'da su 100°C'de kaynıyor
Analiz: 
• Farklı şehirlerde yapılan deneylerde
• Deniz seviyesinde ve 1 atm basınçta
• Su hep aynı sıcaklıkta kaynıyor
Genel Sonuç (Tümevarım): ""Deniz seviyesinde ve 1 atm
basınçta su her yerde 100°C'de kaynar"""
"TÜMDENGELİM","Tümdengelim, genelden (kavram, tanım, formül, yasa) hareketle özel bir durumun açıklamasıdır. Genel için ulaşılan sonuçların özel için de geçerli olduğunu kabul etmektedir (Genelden özele)"
"ÖRNEK: ""Serbest Düşme Hareketi""","Genel Kural (Newton'un Yerçekimi Yasası):
""Dünyada bütün cisimler yerçekimi etkisiyle
9.8 m/s² ivmeyle düşer""
Özel Durum:
    • ""Elimdeki kalem bir cisimdir""
    • ""Bu kalem dünyadadır""
Sonuç (Tümdengelim): ""O halde bu kalem
bırakıldığında 9.8 m/s² ivmeyle düşecektir"""
"MODELLEME-MODEL","Model, gerçek bir durumun, olayın veya sistemin basitleştirilmiş bir temsilidir.
Model, karmaşık gerçekliği anlamak
ve çalışmak için kullanılan önemli bir araçtır."
"Fiziksel Modeller","ÖRNEK: DNA çift sarmal modeli"
"Matematiksel Modeller","ÖRNEK: ! = "" + #$ : Kesin ilişki, ÖRNEK: F = ma (Newton'un hareket denklemi)"
"Kavramsal Modeller","ÖRNEK: SWOT analizi şeması"
"İstatistiksel Modeller","ÖRNEK:  ! = "" + #$ + e : Burada e: hata terimidir. Dolayısıyla kesin olmayan ilişki"
"Aksiyomatik ve Pozitif Bilimler 1. Aksiyomatik Bilimler","Matematik ( Aritmetik, Geometri, Cebir, Analiz) ve Mantık (Klasik Mantık, Sembolik Mantık, Matematiksel Mantık) bu bilim dalı içerisinde yer alır. Hem matematik hem de mantık tümdengelim yaklaşımını benimser. Aksiyomatik bilimler, kesin ve tartışmasız sonuçlar üreten, ancak soyut ve ideal düzeyde çalışan bilim dallarıdır."
"Aksiyomatik ve Pozitif Bilimler 1. Pozitif Bilimler","Olguların gözlenmesi ile yeni genellemelere
ulaşmak, yeni çıkarımlarda bulunmaktır (Yenilik
yaratıcı bilimler). Bu bilim dallarındaki yöntem
tümevarım yöntemidir.
POZİTİF BİLİMLER, gözlem ve deneye dayanan,
somut ve ölçülebilir olguları inceleyen bilimlerdir."
"Pozitif Bilimler","Pozitif bilimler doğa, insan ve uygulamalı olmak üzere üç başlıkta incelenebilir."
"Doğa bilimleri","Fizik, kimya, biyoloji, astronomi, jeoloji gibi dünyadaki canlı ve cansız varlıkları ve bunlarla ilgili olayları ele alan bilimdir."
"İnsani Bilimler","Toplumsal olayların zaman içerisinde değişmezlik gösterdiği, belirli koşullar altında tekrar eden olayların benzer sonuçları vereceği
konusunda yapılan çalışmalardır. Toplumbilim (sosyoloji), ruhbilim(psikoloji), tarih, siyaset bilimi (politik bilimler), ekonomi vb. bilim dalları insan bilimleri alanına girmektedir."
"Uygulamalı Bilimler","Uygulamalı Bilimler, teorik bilgileri pratik sorunlara çözüm üretmek için kullanan bilim dallarıdır."
"Bilimsel Araştırmada Değişken","Bilimsel araştırmada değişkenler, araştırmanın
temel yapı taşlarıdır ve araştırma sürecinin
başarısını doğrudan etkiler.
Değişken: Bir şeyi diğer şeylerden ayıran
niteliksel ve kendi içinde bir şekilde farklılıklar
taşıyan niceliksel her türlü özellik değişken
olarak adlandırılır."
"Nicel Değişken:","Eğer değişkenin özelliği sayı ve miktar olarak açıklanabiliyorsa buna nicel değişken denir. Başarı puanı, ağırlık ve uzunluk ölçüleri birer nicel değişkendir."
"Nitel Değişken","Eğer değişkenin özelliği sınıflandırılıyorsa
buna nitel değişken denir.
Nitel değişkenler kategorik değişkenler
olarak da bilinir.
Cinsiyet, uygulanan öğretim yöntemleri,
medeni durum, doğum yeri, öğrenim görülen
bölüm gibi değişkenler nitel değişkenlerdir."
"Süreksiz-Kesikli Değişken","Ölçülen özellikle ilgili sadece sınırlı sayıda
değer alan değişkenlerdir. Örneğin cinsiyet sadece kız ve erkek değerleri alabilir. Bu nedenle süreksizdir. Bir ailenin sahip olduğu çocuk sayısı da süreksiz değişkene bir örnektir."
"Sürekli Değişken","İki ölçüm arasında sonsuz sayıda değer alabilen, kesirli veya ondalıklı olabilen değişkenlerdir. Bireyin boyu(metre) sürekli değişkendir çünkü bireyin bu özelliği miktar olarak kesirli de gösterilebilir"
"Bağımlı Değişken (Y)","Araştırmacının bireyler ya da gruplar arası değişkenliğin incelediği değişken, çözmeye odaklandığı problemdir."
"Bağımsız Değişken (X)","Araştırmacının bağımlı değişken üzerinde
etkisini test etmek istediği değişkendir.
Bağımsız değişken olası neden, bağımlı değişken ise olası sonuçtur. Yani bağımsız değişken bağımlı değişkeni etkiler."
"Neden-Sonuç İlişkisine Göre Değişkenler (Örnek)","ÖRNEK: “Öğrencilerin başarıları uygulanan
öğretim yöntemine ve cinsiyetlerine göre
farklılık göstermekte midir?” şeklinde bir soru
soralım.
Sonuç öğrenci başarısıdır yani bağımlı
değişkendir. Başarının üzerinde etkisi
incelenen değişkenler; öğretim yöntemi ve
cinsiyet ise bağımsız değişkenlerdir."
"Bağımsız Değişken Çeşitleri","• Değiştirilebilen (Manipüle Edilebilen)
• Seçilmiş
• Düzenleyici (Moderatör)
• Dışsal-Bozucu"
"Değiştirilebilen (Manipüle Edilebilen)
Bağımsız Değişken","Araştırmacının müdahale ettiği, değiştirdiği bağımsız değişkendir. Kategorik diğer bir deyişle
niteldir."
"Seçilmiş Bağımsız Değişken","Araştırmacının müdahale etmediği, ortamda var olan, seçilen bağımsız değişkendir.
Nitel veya nicel olabilirler."
"Düzenleyici Bağımsız Değişken","Bağımlı değişken ve bağımsız değişken arasındaki ilişkiyi düzenleyen veya etkileyen değişkendir.
İkinci düzey bağımsız değişken de denir."
"Dışsal-Bozucu Bağımsız Değişken","Bağımlı değişkenle ilişkisi olan, ancak araştırmada etkisi test edilemeyen ve kontrol altına alınmaya çalışılan bağımsız değişkenlere denir."
"BİLİMSEL ARAŞTIRMADA İSTATİSTİK NEDEN 
ÖNEMLİDİR? 1","İstatistik, bilimsel araştırma  süreçlerinde verilerin sistematik  olarak toplanması, analiz edilmesi,  yorumlanması ve sunulması için  kullanılan temel bir metodolojik  araçtır. Araştırmacılar,  istatistiksel yöntemler sayesinde  karmaşık veri setlerini anlamlı  bilgilere dönüştürebilir,  değişkenler arasındaki ilişkileri  inceleyebilir ve hipotezlerini test  edebilirler."
"BİLİMSEL ARAŞTIRMADA İSTATİSTİK NEDEN 
ÖNEMLİDİR? 2","Özellikle örneklemden elde edilen  bulgularla evrene genelleme yapabilme,  güven aralıklarını belirleme ve anlamlılık  düzeylerini tespit etme gibi kritik  süreçlerde istatistik vazgeçilmez bir rol  oynar. İstatistiksel analizler, araştırma  sonuçlarının güvenilirliğini ve geçerliliğini  artırırken, bilimsel çalışmaların  objektifliğini ve tekrarlanabilirliğini de  güvence altına alır. Ayrıca, betimsel ve  çıkarımsal istatistik teknikleri, araştırma  verilerinin hem özetlenmesine hem de  derinlemesine analizine olanak sağlayarak,  araştırmacıların sağlam temellere dayanan  bilimsel kararlar almasına ve bulguları  etkili bir şekilde sunmasına yardımcı olur."
"İSTATİSTİĞİN KONUSU NEDİR?","olaylar yığın olay ve tipik olay olarak sınıflandırılır"
"YIĞIN OLAY","İstatistik yığın olaylarla ilgilenir. Bu olaylar ilgilenilen özellikleri bakımından değişkenlik ve belirsizlik gösterirler. Aynı koşullar ve varsayımlar altında meydana gelen, özellikleri aynı sonuçların (ölçüm değerlerinin) yanında farklı sonuçları da alabilen olaylara yığın olay denir.
ÖNEMLİ: Yığın olayların incelenen özellikleri olaydan olaya değişkenlik gösterdiği için herhangi bir yığın  olay ait olduğu kümedeki olayları tam olarak temsil edemez."
"ÖRNEK: (YIĞIN OLAY)","2011-2012 öğretim yılında Anadolu Üniversitesi’nin açıköğretim yapan fakültelerinde öğrenim gören öğrenciler; öğretim yılı, uygulanan öğretim sistemi, cinsiyet, başarı durumu özellikleri bakımından araştırılmak isteniyor. Bu araştırmada açıköğretim yapan fakültelerde öğrenim gören öğrenciler ne tür olaydır, istatistiğin konusu olur mu?

Öğrencilere araştırılmak istenilen özelliklerle ilgili yöneltilen Tablo 1.1. deki sorular ve alınabilecek mümkün yanıtlar incelendiğinde öğrencilerin ilk iki soruya verdiği yanıtlar tümüyle aynıyken son iki soruya verdikleri yanıtlar farklı olabilecektir. İki ortak özelliğin yanında, iki farklı özelliğe sahip olan bu öğrenciler yığın olaydır ve istatistiğin konusu olurlar. Öğrencileri yığın olay yapan neden, cinsiyet ve başarı durumu özelliklerinin değişkenlik gösterebilecek olmasıdır."
"TİPİK OLAY","Aynı koşullar ve varsayımlar altında meydana
gelen, incelenen özellikleri bakımından aynı
sonuçları alan olaylara tipik olay denir."
"ÖRNEK: (TİPİK OLAY)","2011-2012 öğretim yılında açıköğretim yapan fakültelere kayıtlı olan öğrenciler öğrenci olup olmama özelliği bakımından incelenecek olsun. Bu incelemede öğrenciler istatistiğin konusu olur mu?
Araştırmaya konu olan özellik öğrenci olup olmama durumu olduğuna ve hakkında araştırma yapılacak olanların tamamı da açıköğretim yapan fakültelere kayıtlı öğrenciler olduğuna göre araştırmaya konu
olan özellik aynı ölçüm değerini (öğrenciyim yanıtını) alacaktır. Bu değerlendirmeye göre 2011-2012 öğretim yılında açıköğretim fakültelerinde kayıtlı olan öğrenciler, öğrenci olup olmama özelliği bakımında tipik olaydır, istatistiğin konusu olmazlar."
"İSTATİSTİK NEDİR?","İstatistik değişik anlamlarda kullanılan, bunun sonucu olarak
da farklı tanımları bulunan bir kavramdır. Quetelet isimli bir
istatistikçi 19. yüzyılda kavramın yüzden fazla tanımının
olduğunu belirlemiştir."
"VERİ KÜMESİ ANLAMINDA İSTATİSTİK","Tanımlanan belirli bir konuda belirli amaç için yığın olayların çeşitli özellikleriyle ilgili olarak derlenmiş olan ve bir anlam ifade eden rakam, sayı, simgelere veri; verilerin oluşturduğu topluluğa veri kümesi veya istatistik denir"
"Yöntemler Topluluğu-Bilim Dalı  Anlamında İstatistik","İstatistikle ilgili artarak devam eden bu gelişmeler temelini matematikten alan yeni bir istatistik tanımı yapma ihtiyacını doğurmuştur. Bu ihtiyaç beraberinde istatistik bilim midir, yöntemler topluluğu mudur tartışmasını başlatmıştır. Bir bilim dalı olarak istatistik, verilerin derlenmesi, düzenlenmesi, çözümlenmesi ve yorumlanması sürecinde kullanılacak teknik ve yöntemleri geliştiren, bu teknik ve yöntemleri uygulayan, kendine özgü kuralları olan bir bilim dalıdır."
"Örneklem Değer Anlamında İstatistik","Tanımlanan yığın olaylar arasından rassal olarak sınırlı sayıda olay seçilir. Seçilen olayların oluşturduğu topluluğa örneklem adı verilir.
Örneklemde yer alan birimler üzerinden derlenen veriler kullanılarak hesaplanan özet değerlere istatistik denir."
"İSTATİSTİKTE BAZI TEMEL KAVRAMLAR (BİRİM)","Belirlenen bir tanım içinde yer alan bir veya daha fazla özelliği bakımından araştırmaya konu olan yığın olay niteliğindeki olayların her birine birim, istatistik birimi denir."
"İSTATİSTİKTE BAZI TEMEL KAVRAMLAR - EVREN (ANA KÜTLE)","Araştırmacı tarafından belirlenen bir tanım kapsamına giren, hakkında araştırma yapılması planlanan birimler topluluğuna evren (anakütle) denir. Daha kısa bir ifadeyle evren bir araştırmada ilgilenilmek istenen ve hakkında genellemelerin yapılacağı birimler topluluğudur"
"İSTATİSTİKTE BAZI TEMEL KAVRAMLAR - ÖRNEKLEME (ÖRNEKLEM)","Tanımlanan evrenin özelliklerini yansıtabilecek, bu evrenden belirli yöntemlerle sınırlı sayıda birimin seçilmesi işlemine örnekleme, örnekleme uygulaması sonucu seçilen sınırlı sayıda birimin oluşturduğu gruba ise örneklem denir."
"İSTATİSTİKTE BAZI TEMEL KAVRAMLAR - TAM SAYIM","Tanımlanan evrendeki bütün birimler üzerinden araştırmaya konu olan değişkenler itibariyle veri derleniyorsa yapılan işleme tam sayım denir. Tam sayım ancak sonlu evrenler için uygulanır. Genel nüfus sayımı, genel seçim tam sayım için önemli örneklerdir.
Sonsuz evrenlere tam sayım uygulanamaz."
"İSTATİSTİKTE BAZI TEMEL KAVRAMLAR - PARAMETRE (İSTATİSTİK)","Tam sayım sonucu elde edilen veriler kullanılarak hesaplanan değerlere genel olarak parametre, örneklemdeki birimlerden derlenen veriler kullanılarak hesaplanan karakteristik değerlere ise genel olarak istatistik adı verilir."
"İSTATİSTİK EĞİTİMİNİN ÖNEMİ","İstatistik eğitiminin iki yönü vardır:
• Teorik (Matematiksel) İstatistik
Eğitimi.
• Uygulamalı İstatistik Eğitimi.
İstatistik eğitiminin önemi ile ilgili açıklamaların bu ikili ayrım esas alınarak yapılması uygun olur."
"TEORİK İSTATİSTİK EĞİTİMİNİN ÖNEMİ","Teorik istatistik eğitimi istatistiğin matematik
ve olasılık kuramındaki gelişmelere bağlı olarak kendine özgü kuram, teknik ve yöntemlerin geliştirilmesini konu alan eğitimdir. Bu anlamda istatistik kendi alanında teorik bir bilim dalıdır."
"UYGULAMALI İSTATİSTİK EĞİTİMİNİN  ÖNEMİ","Uygulamalı istatistik eğitimi teorik istatistikçiler tarafından geliştirilmiş olan istatistiksel teknik ve yöntemlerin pek çok bilim dalıyla ilgili gerçek yaşamda karşılaşılan araştırma problemlerine nasıl uygulanacağını konu alan bir eğitimdir."
"Ölçme Tanımı","Araştırmalarda üzerinde çalışılan evrenin birimlerinin sahip olduğu özelliklerin anlamlı rakam, sayı ve simgeler ile ifade edilmesi işlemine ölçme adı verilir. Ölçme işlemi sonucu elde edilen bu anlamlı rakam, sayı ve simgelere veri adı verilir."
"ÖLÇEK TÜRLERİ","Psikolog Stevens (1946) bilimsel çalışmalarda yapılabilecek tüm ölçümler için aşağıdaki dört farklı ölçek türünün kullanılabileceğini belirtmiştir. Bu ölçek türleri;
• Sınıflayıcı ölçek,
• Sıralayıcı ölçek,
• Eşit aralıklı ölçek,
• Oranlı ölçek,
şeklindedir. Bu sıralama ölçek türlerinin ürettiği bilginin niteliğine göre düşük nitelikten yüksek niteliğe doğru yapılan bir sıralamadır."
"ÖLÇEK TÜRLERİ SINIFLAYICI ÖLÇEK","En basit düzeyli ölçek türüdür. Nitel değişkenlerin ölçülmesi amacı ile kullanılır. Bu ölçek türünde, değişkenin ölçme düzeyleri kategorilerdir. Kategorilerin temsili için harfler, kelimeler ve hatta sayılar sadece etiketleme amaçlı olarak kullanılır. Sınıflayıcı ölçekte değişkenin aldığı sonuçlar kategorilere ayrılmakla beraber kategoriler arasında doğal bir sıralama söz konusu değildir. ÖRNEK: Bir otoparkta yer alan araçların renk değişkeni de sınıflayıcı ölçekle ölçülmektedir."
"ÖLÇEK TÜRLERİ SIRALAYICI ÖLÇEK","Sıralayıcı ölçek, sınıflayıcı ölçeğe göre bir üst seviye nitelikte bilgi üreten ölçek türüdür. Sınıflayıcı ölçekte olduğu gibi nitel değişkenlerin kategorilere ayrılarak sayılması işlemini içermekle birlikte, bu ölçek türünde ölçüm sonuçlarının doğal bir sıralaması söz konusudur.
ÖRNEK: At yarışlarında yarış sonucunda oluşan sıralama, sıralayıcı ölçek için örnek olarak verilebileceği gibi, bir mağaza çalışanlarının unvan sıralamaları, dereceleri, tütün kalitesi sıralayıcı ölçeğe örnek olarak verilebilir."
"ÖLÇEK TÜRLERİ EŞİT ARALIKLI ÖLÇEK","Eşit Aralıklı ölçek, sıralayıcı ölçeğin tüm özelliklerini içermek ve ürettiği bilgileri üretmekle birlikte, birimler arasında özellik farkları matematiksel olarak belirlenebilir. Bu ölçek, nicel değişkenlerin ölçümünde kullanılır. Ölçümün belirli bir başlangıç noktası ve bitiş noktası olmakla birlikte, bir de ölçü birimi bulunmaktadır.
ÖRNEK: Örneğin, hava sıcaklığını düşünelim. Bu değişken nicel ölçme düzeylerine sahiptir ve yokluk anlamına gelmeyen 0 değeri alabilir. Buradaki 0 ölçme düzeyi havada sıcaklığın olmadığı anlamına gelmez. Bu ölçek ile yapılan ölçümler matematiksel işlemler için uygun olmakla beraber, oran hesaplamaları için uygun değildir."
"",""
"ÖLÇEK TÜRLERİ ORANLI ÖLÇEK","En üst düzeyde bilgi üreten ölçek türüdür. Bu ölçekte sıfır başlangıç noktası tüm ölçüm araçlarında aynı anlamı taşımaktadır. Oranlı ölçekte, ölçüm sonuçları daha önce ele aldığımız üç ölçek türünün de özelliklerini içermektedir. Ama en büyük üstünlüğü yokluk anlamına gelen belirli bir sıfır ölçme düzeyi olması, dolayısıyla ölçme düzeyleri arasında oransal analizler yapılabilmesine olanak vermesidir. Aralıklı ölçek, ölçümler arasında eşit aralıklar olması, sıralama olması ve oranların hesaplanabilmesi özelliklerini
taşımaktadır.
ÖRNEK: Örneğin, bir varlığın ağırlığı için “sıfırdır” ifadesi kullanıldığında ölçüm metrik türüne bakmaksızın, bu varlığın olmadığı anlamına gelir. Sıfır kilogram ve sıfır gram aynı özelliği tarif etmektedir. Eğer “Banka hesabımda hiç param yok.” ifadesini kullanırsanız paranın cinsinin Avro veya Türk lirası olması aynı anlama gelecektir, bir başka ifadeyle sizin o an için parasız olduğunuz gerçeğini gösterir."
"VERİ DERLEME TANIMI","Araştırmacı kişi veya kuruluşların araştırmalarında tanımladıkları evrendeki veya örneklemdeki birimlerin özelliklerini uygun ölçek türü kullanarak ölçmesine veri derleme denir."
"VERİ DERLEMEDE DİKKAT EDİLMESİ GEREKENLER","• Veri derlemenin amacının açıkça ifade edilmesi,
• Amaca uygun olarak hangi değişkenlere ilişkin verilerin derleneceğine karar verilmesi, derlenecek verilerin birbirleriyle ve araştırmanın genel amaçlarıyla ilişkisinin incelenmesi,
• Verilerin nasıl, kimler tarafından, nerede, ne zaman ve hangi şartlar altında derleneceğinin belirlenmesi,
• Verilerin nasıl saklanacağı ve gerektiğinde kullanıcıların yararına nasıl sunulacağının (tablo, grafik vb.) tespit edilmesi"
"VERİ DERLEME YÖNTEMLERİ","Değişkenlerle ilgili verilerin derlenmesi amacıyla kullanılacak yöntemler hakkında çeşitli sınıflandırmalar yapılmaktadır. Bilimsel araştırma süreçlerinde genellikle kullanılan sınıflandırma,
• Birinci elden veri derleme 
• İkinci elden veri derleme
sınıflandırmasıdır."
"BİRİNCİ ELDEN VERİ DERLEME","Araştırmacılar, araştırmalarında belirledikleri değişkenlerle ilgili bilgiler üretirken genellikle kendi derledikleri verileri kullanma eğilimindedirler. Çünkü farklı amaçlarla aynı değişkenler hakkında daha önceden derlenen verilerin ne şekilde hangi araçlar kullanılarak derlendikleri konusunda güvenilir bilgilere sahip olamayabilirler ya da veriler güncelliğini yitirmiş olabilir. Birinci elden veri derleme amaç olduğunda başlıca dört veri derleme yönteminden biri kullanılır. Bunlar; Deney, Gözlem, Görüşme ve Anket başlıkları altında toplanabilir."
"BİRİNCİ ELDEN VERİ DERLEME - Kalitatif Yöntemler (Nitel)","• Gözlem
• Odak Grup
• Derinlemesine Görüşme
• Yansıtıcı Teknikler"
"BİRİNCİ ELDEN VERİ DERLEME - Kantitatif Yöntemler(Nicel)","• Anket
• Deney"
"İKİNCİ ELDEN VERİ DERLEME","İkincil veriler ise, araştırmacının amaçlarına uygun olabilen ve daha önceden kaynaklarda yer alan bilgilerdir. İkincil veri, araştırmayı yapan kimseden başka kişi ve kurumlarca, kendi
amaçları için daha önce toplanmış verilerdir.
Araştırmacı için hazır durumda olup, nispeten kolay elde edilebilen bu verilerin kaynakları çeşitli olabilmektedir. Özellikle internetin gelişmesi ile birlikte ikincil kaynaklar çeşitlenmekte ve ulaşımı kolaylaşmaktadır."
"VERİ DERLEME ARAÇLARI","Veri derleme amacı ile kullanılacak araçlar maddi ve beşeri araçlar olmak üzere sınıflandırılır. Gözlemlenecek birimlerin özelliklerini ölçmeye yarayan aletler maddi araçları oluşturur. Örneğin, ağırlık değişkeninin ölçümünde kullanılan terazi, baskül; hava sıcaklığı değişkeninin ölçümü için kullanılan termometre ve anket sınıflandırılırlar. formları maddi araçlardır. Veri derlemede birimleri ve özelliklerini ölçen kişiler veri derlemenin beşeri araçlarıdır. Örneğin, anketör, gözlem memuru, görüşmeci veri derlemenin beşeri araçları olarak sayılabilirler."
"VERİ DERLEME HATALARI","Veri derleme hazırlıkları hangi düzeyde olursa olsun, yine de bazı hatalar işlenebilir. Bu hataların kaynağı veri derlemeyi düzenleyenler, cevaplayıcılar ve derlemenin beşeri araçları olabilir.
• Derlemeyi düzenleyenlerden dolayı ortaya çıkan veri derleme 
hatalarına derlemenin uygunsuz bir zamanda yapılması ve evren  tanımının hatalı yapılması gösterilebilir.
• Cevaplayıcılardan kaynaklanan hatalar içinde soruların yeterince  anlaşılamaması, sorular anlaşılsa bile bilgisizlik, ilgisizlik vb. gibi  nedenlerle yanlış cevap vermeleri gösterilebilir.
• Beşeri araçlardan kaynaklanan hatalara örnek olarak ise  dikkatsizlik, yorgunluk ve objektif olamama nedenleri  gösterilebilir."
"İSTATİSTİKSEL SERİLER","Veri derleme yöntemlerinin uygulanması ile derlenmiş olan ve elde ediliş sırasına göre sunulmuş veriler ham verilerdir. Bu verilerden bilgi üretmek zor, zaman alıcı ve bazen de imkânsızdır. Ham verilerden istenen bilgilerin kolayca üretilebilmesi için bu verilerin düzenlenmesi ve tablolarla sunulması gerekir.
Ham verileri, zaman ve mekân değişkenleri ile maddi bir değişkenin ölçme düzeylerine göre sıralanmış olarak gösteren sayı dizilerine “seri” denir. Seriler; dağılma serileri, zaman serileri ve mekân serileri olarak sınıflandırılabilir. Serileri oluşturan sayılardan her birine terim adı verilir."
"DAĞILMA SERİLERİ","Gözlem değerlerini maddi bir değişkenin ölçme
düzeylerine göre sınıflandırılması ile oluşturulan
serilere dağılma serisi adı verilir.
Dağılma serilerinin birinci sütununda gözlem değerleri ikinci sütunda ise bu gözlem değerlerinin sıklıkları (frekansları) yer alır. Bu serilere frekans dağılımı adı da verilmektedir.
Dağılma serileri nicel değişkenler için nicel dağılma serileri, nitel değişkenler için ise nitel dağılma serileri olarak sınıflandırılır."
